tanggal_transaksi,nama_produk,kategori,total_pengeluaran
2015-01-11,ola auto - wakad to gg skies,Transportasi,32300.0
2015-01-11,shaving,Lain-lain,9500.0
2015-01-12,bus - chinchwad to kala,Transportasi,33250.0
2015-01-12,ola auto - to chinchwad transport bus stop,Transportasi,11590.0
2015-01-13,tea,Makanan/Minuman,1900.0
2015-01-13,internet renewal,Lain-lain,95000.0
2015-01-14,travels - mumbai to brc,Transportasi,144400.0
2015-01-14,lunch - chicken fried rice + chicken soup,Makanan/Minuman,22800.0
2015-01-14,3 bananas,Makanan/Minuman,2470.0
2015-01-15,tea,Makanan/Minuman,1900.0
2015-01-15,auto - amit nagar to b45,Transportasi,19000.0
2015-01-15,ratri bazar,Makanan/Minuman,29450.0
2015-01-16,auto -  to race course,Transportasi,1900.0
2015-01-16,auto - alk to gtr,Transportasi,9500.0
2015-01-16,auto - gtr to hospital,Transportasi,5700.0
2015-01-18,tea,Makanan/Minuman,1520.0
2015-01-18,milk half gold,Makanan/Minuman,5510.0
2015-01-18,vegetable,Makanan/Minuman,11400.0
2015-01-19,milk half gold,Makanan/Minuman,5510.0
2015-01-20,srikhand,Makanan/Minuman,12350.0
2015-01-21,train - bdts to brc,Transportasi,50160.0
2015-01-21,broom,Belanja,11400.0
2015-01-21,grocery,Makanan/Minuman,22800.0
2015-01-21,samosa + 2 tea,Makanan/Minuman,5130.0
2015-01-21,train - brc to mmct,Transportasi,26220.0
2015-01-21,shev,Makanan/Minuman,9500.0
2015-01-21,milk half gold,Makanan/Minuman,5320.0
2015-01-22,snacks,Makanan/Minuman,6270.0
2015-01-22,tea,Makanan/Minuman,3800.0
2015-01-24,tea,Makanan/Minuman,5700.0
2015-01-25,hair cut,Lain-lain,11400.0
2015-01-26,grocery,Makanan/Minuman,59090.0
2015-01-26,paav,Makanan/Minuman,5700.0
2015-01-26,milk half shakti,Makanan/Minuman,4940.0
2015-01-27,chana chat,Makanan/Minuman,2850.0
2015-01-27,tea,Makanan/Minuman,5700.0
2015-01-29,milk half shakti,Makanan/Minuman,4940.0
2015-01-29,good day biscuits,Makanan/Minuman,7220.0
2015-01-29,samosa,Makanan/Minuman,2850.0
2015-01-30,dinner treat,Makanan/Minuman,190760.0
2015-01-30,auto - genda circle to b45,Transportasi,19000.0
2015-01-31,bananas,Makanan/Minuman,3800.0
2015-01-31,bhindi,Makanan/Minuman,7600.0
2015-02-01,undergarments,Lain-lain,47120.0
2015-02-01,milk half shakti,Makanan/Minuman,4940.0
2015-02-01,electricity bill,Belanja,148960.0
2015-02-02,milk half shakti,Makanan/Minuman,4940.0
2015-02-02,permanent residence money transfer,Lain-lain,1900000.0
2015-02-02,5 eggs,Makanan/Minuman,5700.0
2015-02-03,grocery,Makanan/Minuman,20330.0
2015-02-03,shoe repair,Lain-lain,19000.0
2015-02-03,chana chat + kachori,Makanan/Minuman,5130.0
2015-02-03,garbage collector,Lain-lain,9500.0
2015-02-03,tea,Makanan/Minuman,1900.0
2015-02-03,12 eggs,Makanan/Minuman,13300.0
2015-02-04,grocery,Makanan/Minuman,223820.0
2015-02-04,milk half shakti,Makanan/Minuman,4940.0
2015-02-04,tea,Makanan/Minuman,5700.0
2015-02-05,water jar,Makanan/Minuman,71250.0
2015-02-05,bhel,Makanan/Minuman,7600.0
2015-02-05,snacks,Makanan/Minuman,3990.0
2015-02-07,tea,Makanan/Minuman,1140.0
2015-02-08,internet renewal,Lain-lain,646000.0
2015-02-08,tea + biscuits,Makanan/Minuman,5700.0
2015-02-08,egg fried rice,Makanan/Minuman,16340.0
2015-02-08,deo and amul milk,Lain-lain,70490.0
2015-02-09,farsan + khari sing,Makanan/Minuman,28500.0
2015-02-09,paneer,Makanan/Minuman,6650.0
2015-02-09,train - brc to mmct,Transportasi,33440.0
2015-02-10,tea,Makanan/Minuman,1140.0
2015-02-10,tea + kachuri,Makanan/Minuman,3420.0
2015-02-10,grocery,Makanan/Minuman,11400.0
2015-02-11,bread pakoda + tea,Makanan/Minuman,4940.0
2015-02-11,paneer 150 gm,Makanan/Minuman,10260.0
2015-02-12,tea,Makanan/Minuman,1900.0
2015-02-12,tea,Makanan/Minuman,2280.0
2015-02-12,kurkure,Makanan/Minuman,1900.0
2015-02-13,chana chat + tea,Makanan/Minuman,3990.0
2015-02-13,milk half shakti,Makanan/Minuman,5130.0
2015-02-15,bread,Makanan/Minuman,2850.0
2015-02-15,taxi - dadar to vadala road,Transportasi,6460.0
2015-02-15,mixer repair,Belanja,47500.0
2015-02-15,internet renewal,Lain-lain,95000.0
2015-02-15,pani puri,Makanan/Minuman,3800.0
2015-02-15,local - vadala road to place 0,Transportasi,2850.0
2015-02-15,tea,Makanan/Minuman,3800.0
2015-02-16,local - place 0 to place 5 return,Transportasi,5700.0
2015-02-16,kaju katli 250gm,Makanan/Minuman,47310.0
2015-02-17,dinner,Makanan/Minuman,43130.0
2015-02-19,face mask,Kesehatan,8550.0
2015-02-19,koflet,Kesehatan,6460.0
2015-02-19,milk 1lit,Makanan/Minuman,11400.0
2015-02-23,bandra to bandra terminus,Transportasi,3800.0
2015-02-23,place 0 to bandra,Transportasi,3800.0
2015-02-23,shoe polish,Lain-lain,3800.0
2015-02-23,to and fro mum to brc,Transportasi,99940.0
2015-02-23,splitwise settlement,Lain-lain,782420.0
2015-02-24,vegetable,Makanan/Minuman,30400.0
2015-02-24,tea,Makanan/Minuman,1900.0
2015-02-24,ola auto - brc to b45,Transportasi,12540.0
2015-02-26,tea,Makanan/Minuman,1140.0
2015-02-26,office to vasna road,Transportasi,11400.0
2015-02-26,eggs,Makanan/Minuman,5700.0
2015-02-26,milk,Makanan/Minuman,4940.0
2015-02-28,milk,Makanan/Minuman,4940.0
2015-02-28,tea,Makanan/Minuman,3800.0
2015-02-28,chicken thali,Makanan/Minuman,10450.0
2015-03-01,at restaurant,Makanan/Minuman,15200.0
2015-03-01,bananas,Makanan/Minuman,3800.0
2015-03-01,tea,Makanan/Minuman,1140.0
2015-03-01,chicken manchow soup,Makanan/Minuman,16720.0
2015-03-02,dentist check-up,Kesehatan,57000.0
2015-03-02,canteen lunch,Makanan/Minuman,4750.0
2015-03-02,to office,Transportasi,1900.0
2015-03-02,2 uttapam,Makanan/Minuman,7600.0
2015-03-02,painkillers,Kesehatan,42940.0
2015-03-02,tea,Makanan/Minuman,5700.0
2015-03-03,root canal advance,Kesehatan,570000.0
2015-03-03,water jar,Lain-lain,20520.0
2015-03-03,painkillers,Kesehatan,15580.0
2015-03-04,mosambi juice,Makanan/Minuman,4750.0
2015-03-05,icici prudential,Lain-lain,190000.0
2015-03-05,grooming,Lain-lain,7600.0
2015-03-06,to office,Transportasi,1900.0
2015-03-06,b45 to brc,Transportasi,1900.0
2015-03-06,orange juice,Makanan/Minuman,4750.0
2015-03-07,reliance mutual fund,Lain-lain,190000.0
2015-03-09,print out,Lain-lain,1140.0
2015-03-09,amazon prime,Lain-lain,24510.0
2015-03-10,bandra to bandra terminus,Transportasi,3800.0
2015-03-10,current residence to place 0,Transportasi,1900.0
2015-03-10,place 0 to bandra,Transportasi,3800.0
2015-03-10,train - brc to ddr cancellation charges,Transportasi,2242.0
2015-03-10,mutual fund,Lain-lain,190000.0
2015-03-10,train - ddr to brc cancellation charges,Transportasi,2242.0
2015-03-11,tea,Makanan/Minuman,1520.0
2015-03-12,root canal due,Kesehatan,361000.0
2015-03-12,tea,Makanan/Minuman,5700.0
2015-03-13,to office,Transportasi,1900.0
2015-03-14,ironing,Lain-lain,7600.0
2015-03-14,milk,Makanan/Minuman,4940.0
2015-03-15,altering,Lain-lain,5700.0
2015-03-15,shakti + bread,Makanan/Minuman,6840.0
2015-03-15,cycle air pumping,Lain-lain,950.0
2015-03-16,dentist check-up,Kesehatan,190000.0
2015-03-16,tea,Makanan/Minuman,3800.0
2015-03-17,laptop repair,Lain-lain,85500.0
2015-03-18,dal fry and chapati,Makanan/Minuman,4750.0
2015-03-18,aloo paratha,Makanan/Minuman,3800.0
2015-03-18,milk,Makanan/Minuman,4940.0
2015-03-18,samosa+tea+veg cheese grill sandwich,Makanan/Minuman,10070.0
2015-03-19,cooker ring,Belanja,9500.0
2015-03-20,dry cleaning,Lain-lain,19000.0
2015-03-20,dentist check-up,Kesehatan,703000.0
2015-03-23,grocery,Makanan/Minuman,82422.0
2015-03-23,refilling,Lain-lain,3800.0
2015-03-24,milk,Makanan/Minuman,4940.0
2015-03-29,kala hit,Kesehatan,51110.0
2015-03-29,grocery,Makanan/Minuman,28500.0
2015-04-01,toothbrush + biscuits,Makanan/Minuman,9500.0
2015-04-04,grocery,Makanan/Minuman,54530.0
2015-04-04,grocery,Makanan/Minuman,168910.0
2015-04-04,cleaning drainage,Lain-lain,57000.0
2015-04-06,icici prudential,Lain-lain,190000.0
2015-04-07,reliance mutual fund,Lain-lain,190000.0
2015-04-08,grocery,Makanan/Minuman,29640.0
2015-04-10,grocery,Makanan/Minuman,132810.0
2015-04-13,mutual fund,Lain-lain,190000.0
2015-04-14,covid19 donation to pm fund,Lain-lain,95000.0
2015-04-18,hair oil,Lain-lain,34200.0
2015-04-18,snacks,Makanan/Minuman,61560.0
2015-04-23,milk half gold,Makanan/Minuman,10640.0
2015-04-24,snacks + veggie,Makanan/Minuman,79800.0
2015-04-26,stationary (drawing book + black sketch pen),Lain-lain,11210.0
2015-04-26,eggs + bread,Makanan/Minuman,20900.0
2015-04-26,srikhand,Makanan/Minuman,21660.0
2015-04-28,milk half gold,Makanan/Minuman,5320.0
2015-05-01,dahi,Makanan/Minuman,3800.0
2015-05-02,milk half shakti,Makanan/Minuman,5320.0
2015-05-03,april -may 10k contribution,Lain-lain,3800000.0
2015-05-03,grocery,Makanan/Minuman,223820.0
2015-05-05,methi + palak,Makanan/Minuman,19000.0
2015-05-05,icici prudential,Lain-lain,190000.0
2015-05-05,milk half shakti,Makanan/Minuman,4940.0
2015-05-06,limcee+,Kesehatan,13300.0
2015-05-07,reliance mutual fund,Lain-lain,190000.0
2015-05-08,milk half shakti,Makanan/Minuman,4940.0
2015-05-09,hand sanitizer + surgical gloves,Kesehatan,55100.0
2015-05-09,gobi,Makanan/Minuman,3800.0
2015-05-09,milk half shakti,Makanan/Minuman,9880.0
2015-05-10,sensodyne rapid fire,Belanja,30400.0
2015-05-11,milk half shakti,Makanan/Minuman,4940.0
2015-05-11,onions,Makanan/Minuman,3800.0
2015-05-11,mutual fund,Lain-lain,190000.0
2015-05-12,milk half shakti,Makanan/Minuman,4940.0
2015-05-13,n95 mask,Kesehatan,47500.0
2015-05-13,milk half shakti,Makanan/Minuman,4940.0
2015-05-14,internet renewal (3 months pack),Lain-lain,275500.0
2015-05-15,milk half shakti,Makanan/Minuman,4940.0
2015-05-16,bananas 1 kg,Makanan/Minuman,3800.0
2015-05-16,milk half shakti,Makanan/Minuman,4940.0
2015-05-16,splitwise settlement,Lain-lain,115330.0
2015-05-17,br to mumbai,Transportasi,1140000.0
2015-05-31,electricity bill,Belanja,507490.0
2015-06-05,icici prudential,Lain-lain,190000.0
2015-06-08,reliance mutual fund,Lain-lain,190000.0
2015-06-10,tambola,Lain-lain,9500.0
2015-06-10,mutual fund,Lain-lain,190000.0
2015-06-23,amazon prime,Lain-lain,189810.0
2015-06-29,amazon prime,Lain-lain,37810.0
2015-07-02,splitwise settlement,Lain-lain,59280.0
2015-07-06,icici prudential,Lain-lain,190000.0
2015-07-07,reliance mutual fund,Lain-lain,190000.0
2015-07-09,earphones,Lain-lain,87210.0
2015-07-10,mutual fund,Lain-lain,190000.0
2015-07-19,mobile service provider recharge 365 days,Lain-lain,493810.0
2015-07-29,audible subscription,Lain-lain,37810.0
2015-08-05,icici prudential,Lain-lain,190000.0
2015-08-07,reliance mutual fund,Lain-lain,190000.0
2015-08-10,mutual fund,Lain-lain,190000.0
2015-08-13,internet renewal (3 months pack),Lain-lain,275500.0
2015-08-14,mixer philips 7756,Belanja,664810.0
2015-08-28,audible subscription,Lain-lain,37810.0
2015-08-30,all out refill,Lain-lain,13680.0
2015-08-31,screw driver kit,Lain-lain,54530.0
2015-09-05,icici prudential,Lain-lain,190000.0
2015-09-07,reliance mutual fund,Lain-lain,190000.0
2015-09-10,mutual fund,Lain-lain,190000.0
2015-09-11,chicken lollypop + biryani,Makanan/Minuman,72010.0
2015-09-21,mobile service provider fi router,Lain-lain,398810.0
2015-09-26,shoe polish,Lain-lain,5700.0
2015-09-27,audible subscription,Lain-lain,37810.0
2015-09-28,mobile service provider sim card,Lain-lain,66500.0
2015-09-28,6 pairs of use and throw gloves,Kesehatan,22800.0
2015-09-28,2 n95 masks,Kesehatan,57000.0
2015-09-30,phone cover,Lain-lain,19000.0
2015-10-02,cold coffee,Makanan/Minuman,79800.0
2015-10-05,icici prudential,Lain-lain,190000.0
2015-10-07,kindle + gift wrap,Lain-lain,1525510.0
2015-10-07,reliance mutual fund,Lain-lain,190000.0
2015-10-10,mutual fund,Lain-lain,190000.0
2015-10-18,belt + socs,Lain-lain,281010.0
2015-10-18,ola - place 1 to place 5 to and fro,Transportasi,152570.0
2015-10-21,toll+petrol,Lain-lain,95000.0
2015-10-22,mobile service provider recharge wfh,Lain-lain,47690.0
2015-10-23,hanger clips,Lain-lain,7600.0
2015-10-23,mandir to hospital,Transportasi,3800.0
2015-10-24,plumber,Belanja,19000.0
2015-10-25,sapat parivar tea half kg,Belanja,45600.0
2015-10-27,audible subscription,Lain-lain,37810.0
2015-10-28,to family,Lain-lain,190000.0
2015-10-28,place 2 to brc travels,Transportasi,125400.0
2015-10-29,redbus - brc to place 2,Transportasi,126350.0
2015-10-30,hair cut,Lain-lain,9500.0
2015-10-30,permanent residence to kacheri,Transportasi,5700.0
2015-10-31,face mask,Kesehatan,28500.0
2015-10-31,sweats,Makanan/Minuman,47500.0
2015-10-31,tea,Makanan/Minuman,1900.0
2015-10-31,b45 to pandya bridge,Transportasi,13490.0
2015-10-31,water bottle + khari sing,Makanan/Minuman,13300.0
2015-10-31,golden circle to b45,Transportasi,34200.0
2015-11-01,locality v to permanent residence,Transportasi,13300.0
2015-11-03,permanent residence to nearby  hospital,Transportasi,7600.0
2015-11-05,12 eggs,Makanan/Minuman,15960.0
2015-11-05,icici prudential,Lain-lain,190000.0
2015-11-07,mobile service provider recharge wfh,Lain-lain,47690.0
2015-11-07,reliance mutual fund,Lain-lain,190000.0
2015-11-10,mutual fund,Lain-lain,190000.0
2015-11-12,egg roll,Makanan/Minuman,4750.0
2015-11-14,flowers (.5kg)+sweets (.25gm+10/-)+vegetables (1.5kg),Lain-lain,58900.0
2015-11-21,mobile service provider recharge wfh,Lain-lain,47690.0
2015-11-21,1 dozen,Makanan/Minuman,15960.0
2015-11-26,audible subscription,Lain-lain,37810.0
2015-11-27,egg roll,Makanan/Minuman,4750.0
2015-11-29,auto,Transportasi,7600.0
2015-11-29,auto,Transportasi,5700.0
2015-11-29,auto,Transportasi,9500.0
2015-12-01,to family,Lain-lain,194560.0
2015-12-01,eggs,Makanan/Minuman,15960.0
2015-12-01,roadstar black fishermen sandals,Lain-lain,146870.0
2015-12-02,kolhapuri chappal,Lain-lain,61750.0
2015-12-05,petrol,Lain-lain,38000.0
2015-12-05,cadbury 2 + chips 2,Makanan/Minuman,17100.0
2015-12-05,icici prudential,Lain-lain,190000.0
2015-12-07,reliance mutual fund,Lain-lain,190000.0
2015-12-08,flour mill,Lain-lain,5320.0
2015-12-10,mutual fund,Lain-lain,190000.0
2015-12-11,station to permanent residence,Transportasi,19000.0
2015-12-12,within city,Transportasi,9500.0
2015-12-19,eye drop maxmoist,Kesehatan,44650.0
2015-12-19,eggs,Makanan/Minuman,15200.0
2015-12-19,hand sanitizer,Kesehatan,41800.0
2015-12-20,secret santa - diary,Lain-lain,88350.0
2015-12-21,kindle unlimited,Lain-lain,32110.0
2015-12-25,sliper,Lain-lain,51300.0
2015-12-25,dustbin bags,Belanja,9500.0
2015-12-26,audible subscription,Lain-lain,37810.0
2015-12-26,flour mill,Lain-lain,5320.0
2015-12-30,cake advance,Makanan/Minuman,19000.0
2015-12-30,hair cut+shaving+dye+facial,Lain-lain,380000.0
2015-12-31,cake + balloon (150)+caps(50+40),Makanan/Minuman,102600.0
2016-01-01,everest pav bhaji masala,Makanan/Minuman,6650.0
2016-01-01,public provident fund,Lain-lain,1900000.0
2016-01-01,amul butter 100gm(4 pcs),Makanan/Minuman,36480.0
2016-01-05,cake,Makanan/Minuman,66500.0
2016-01-05,grandparents to permanent residence,Transportasi,5700.0
2016-01-05,mutual fund a,Lain-lain,190000.0
2016-01-05,rd,Lain-lain,190000.0
2016-01-07,mutual fund b,Lain-lain,190000.0
2016-01-08,laptop table,Lain-lain,378860.0
2016-01-09,mobile service provider recharge wfh,Tagihan/Utilitas,47690.0
2016-01-10,chalk for ants,Belanja,2850.0
2016-01-11,mutual fund c,Lain-lain,190000.0
2016-01-11,rd,Lain-lain,190000.0
2016-01-12,slippers,Lain-lain,38000.0
2016-01-22,kindle unlimited,Tagihan/Utilitas,32110.0
2016-01-26,audible subscription,Tagihan/Utilitas,37810.0
2016-02-01,public provident fund,Lain-lain,1900000.0
2016-02-05,rd,Lain-lain,190000.0
2016-02-05,mutual fund a,Lain-lain,190000.0
2016-02-07,grocery,Makanan/Minuman,30400.0
2016-02-08,mobile service provider recharge wfh,Tagihan/Utilitas,47690.0
2016-02-08,mutual fund b,Lain-lain,190000.0
2016-02-10,mutual fund c,Lain-lain,190000.0
2016-02-10,rd,Lain-lain,190000.0
2016-02-13,hand gloves 4 pairs,Kesehatan,15200.0
2016-02-13,within city,Transportasi,7600.0
2016-02-14,bread (10)+cadbury(10)+ cheese + myvaneese+pav bhaji masala,Makanan/Minuman,31350.0
2016-02-20,biscuits,Makanan/Minuman,16150.0
2016-02-22,kindle unlimited,Tagihan/Utilitas,32110.0
2016-02-22,5star (2)+munch(2),Makanan/Minuman,7600.0
2016-02-24,audible subscription,Tagihan/Utilitas,37810.0
2016-02-27,pedhe,Makanan/Minuman,9500.0
2016-02-27,moscuito racket,Lain-lain,47500.0
2016-02-27,mobile service provider recharge wfh,Tagihan/Utilitas,47690.0
2016-02-28,flour mill,Lain-lain,2090.0
2016-02-28,pedhe,Makanan/Minuman,19000.0
2016-02-28,hair cut,Lain-lain,19000.0
2016-02-28,biscuits,Makanan/Minuman,13300.0
2016-03-02,public provident fund,Lain-lain,1900000.0
2016-03-05,mutual fund a,Lain-lain,190000.0
2016-03-05,rd,Lain-lain,190000.0
2016-03-06,mobile service provider recharge wfh,Tagihan/Utilitas,47690.0
2016-03-08,mutual fund b,Lain-lain,190000.0
2016-03-10,mutual fund c,Lain-lain,190000.0
2016-03-10,rd,Lain-lain,190000.0
2016-03-11,gel pens,Pendidikan,3800.0
2016-03-11,watch repair,Lain-lain,47500.0
2016-03-11,cheese cubes(2)+ neutralite butter,Makanan/Minuman,11400.0
2016-03-15,mobile service provider recharge wfh,Tagihan/Utilitas,47690.0
2016-03-16,ganesh murthi,Lain-lain,15200.0
2016-03-20,sambhar masala,Makanan/Minuman,6650.0
2016-03-20,print out,Lain-lain,950.0
2016-03-21,mobile service provider,Tagihan/Utilitas,47690.0
2016-03-22,kindle unlimited,Tagihan/Utilitas,32110.0
2016-03-28,hit spray(99)+biscuits+mask,Lain-lain,30210.0
2016-03-29,owalni,Lain-lain,19000.0
2016-04-01,public provident fund,Lain-lain,1900000.0
2016-04-02,jeevan drop,Lain-lain,5700.0
2016-04-02,lb road to permanent residence,Transportasi,9500.0
2016-04-02,rasna orange,Makanan/Minuman,3800.0
2016-04-02,mobile service provider,Tagihan/Utilitas,47690.0
2016-04-03,subscription 1 yr,Tagihan/Utilitas,57000.0
2016-04-05,mutual fund a,Lain-lain,190000.0
2016-04-05,rd,Lain-lain,190000.0
2016-04-07,mutual fund b,Lain-lain,190000.0
2016-04-11,grocery,Makanan/Minuman,243010.0
2016-04-11,mobile service provider,Tagihan/Utilitas,47690.0
2016-04-12,rd,Lain-lain,190000.0
2016-04-12,mutual fund c,Lain-lain,190000.0
2016-04-15,mobile service provider,Tagihan/Utilitas,47690.0
2016-04-16,sensodyne toothbrush,Belanja,9500.0
2016-04-20,mobile service provider,Tagihan/Utilitas,47690.0
2016-04-24,kindle unlimited,Tagihan/Utilitas,32110.0
2016-04-26,dettol handwash + khari + toast + goodday,Makanan/Minuman,49210.0
2016-04-28,subscription,Tagihan/Utilitas,56810.0
2016-05-01,public provident fund,Lain-lain,1900000.0
2016-05-02,flour mill,Lain-lain,4750.0
2016-05-03,mobile service provider,Tagihan/Utilitas,47690.0
2016-05-05,rd,Lain-lain,190000.0
2016-05-05,mutual fund a,Lain-lain,190000.0
2016-05-06,mobile service provider,Tagihan/Utilitas,47690.0
2016-05-07,mutual fund b,Lain-lain,190000.0
2016-05-10,mutual fund c,Lain-lain,190000.0
2016-05-10,rd,Lain-lain,190000.0
2016-05-16,mobile service provider,Tagihan/Utilitas,47690.0
2016-05-17,aadhar mobile number and email id updated,Lain-lain,19000.0
2016-05-17,life insurance,Lain-lain,2144340.0
2016-05-19,agarbatti + icecream pack,Makanan/Minuman,34200.0
2016-05-22,hair cut+shaving,Lain-lain,22800.0
2016-05-22,permanent residence to nearby hospital,Transportasi,7600.0
2016-05-29,sanitary napkins+chocolates+maggie+khajoor,Makanan/Minuman,95760.0
2016-05-30,mobile service provider,Tagihan/Utilitas,47690.0
2016-05-31,permanent residence to lb road,Transportasi,9500.0
2016-06-01,public provident fund,Lain-lain,1900000.0
2016-06-01,1 jar,Makanan/Minuman,4750.0
2016-06-05,rd,Lain-lain,190000.0
2016-06-05,mutual fund a,Lain-lain,190000.0
2016-06-05,biscuits + medicine,Makanan/Minuman,12920.0
2016-06-07,mutual fund b,Lain-lain,190000.0
2016-06-10,mutual fund c,Lain-lain,190000.0
2016-06-10,rd,Lain-lain,190000.0
2016-06-12,mobile service provider,Tagihan/Utilitas,47690.0
2016-06-12,eggs,Makanan/Minuman,15960.0
2016-06-18,flour mill,Lain-lain,7220.0
2016-06-19,family exam form,Lain-lain,171950.0
2016-06-19,grocery,Makanan/Minuman,114000.0
2016-06-20,icecream,Makanan/Minuman,26600.0
2016-06-22,mobile service provider sim card porting,Tagihan/Utilitas,66500.0
2016-06-23,amazon prime subscription,Tagihan/Utilitas,189050.0
2016-06-27,chalisgaon to baroda return,Transportasi,608000.0
2016-06-27,mobile service provider,Tagihan/Utilitas,47690.0
2016-06-30,pan card application,Lain-lain,20311.0
2016-07-01,public provident fund,Lain-lain,1900000.0
2016-07-01,family mobile service provider recharge,Lain-lain,493810.0
2016-07-04,mobile service provider,Tagihan/Utilitas,47690.0
2016-07-05,mobile service provider,Tagihan/Utilitas,47690.0
2016-07-05,mutual fund a,Lain-lain,190000.0
2016-07-05,rd,Lain-lain,190000.0
2016-07-07,mutual fund b,Lain-lain,190000.0
2016-07-12,mutual fund c,Lain-lain,190000.0
2016-07-12,rd,Lain-lain,190000.0
2016-07-13,citrizen + crocine,Kesehatan,1900.0
2016-07-20,mobile service provider recharge 365 days,Tagihan/Utilitas,493810.0
2016-07-21,mobile service provider,Tagihan/Utilitas,47690.0
2016-07-25,mobile service provider,Tagihan/Utilitas,47690.0
2016-07-31,frame for specs,Lain-lain,47500.0
2016-08-01,public provident fund,Lain-lain,1900000.0
2016-08-04,ipad cover,Lain-lain,49400.0
2016-08-05,mutual fund,Lain-lain,190000.0
2016-08-05,rd,Lain-lain,190000.0
2016-08-07,pet psychology,Lain-lain,142500.0
2016-08-07,mutual fund,Lain-lain,190000.0
2016-08-09,mobile service provider,Tagihan/Utilitas,47690.0
2016-08-10,mutual fund,Lain-lain,190000.0
2016-08-10,rd,Lain-lain,190000.0
2016-08-11,life insurance,Lain-lain,2144340.0
2016-08-14,hair cut,Lain-lain,19000.0
2016-08-14,pens,Lain-lain,950.0
2016-08-18,mobile service provider,Tagihan/Utilitas,47690.0
2016-08-21,earphones,Lain-lain,19000.0
2016-08-22,rakshabandhan ovalni,Lain-lain,95000.0
2016-08-23,pocket money,Lain-lain,380000.0
2016-08-24,rakshabandhan ovalni,Lain-lain,95000.0
2016-08-29,lizol,Belanja,18620.0
2016-08-29,boric powder,Belanja,7600.0
2016-08-29,ganesh idol,Lain-lain,68590.0
2016-09-01,public provident fund,Lain-lain,1900000.0
2016-09-01,mobile service provider,Tagihan/Utilitas,47690.0
2016-09-01,place 2 to mum,Transportasi,142500.0
2016-09-05,rd,Lain-lain,190000.0
2016-09-05,mutual fund,Lain-lain,190000.0
2016-09-06,place 6 to place 2,Transportasi,113715.0
2016-09-07,1 dozen,Makanan/Minuman,13680.0
2016-09-07,mutual fund,Lain-lain,190000.0
2016-09-08,cold coffee,Makanan/Minuman,5700.0
2016-09-08,bread,Makanan/Minuman,3800.0
2016-09-08,mobile service provider,Tagihan/Utilitas,47690.0
2016-09-09,1lit buffalo milk,Makanan/Minuman,13300.0
2016-09-10,mutual fund,Lain-lain,190000.0
2016-09-10,rd,Lain-lain,190000.0
2016-09-11,meghdoot to plaza,Transportasi,3800.0
2016-09-11,half liter buffalo,Makanan/Minuman,6650.0
2016-09-11,badishop,Makanan/Minuman,13300.0
2016-09-12,half liter buffalo,Makanan/Minuman,6650.0
2016-09-12,bread,Makanan/Minuman,6650.0
2016-09-12,vanilla ice cream cups 2,Makanan/Minuman,3800.0
2016-09-13,brownie,Makanan/Minuman,13300.0
2016-09-13,riverdine date,Makanan/Minuman,160550.0
2016-09-14,mobile service provider,Tagihan/Utilitas,47690.0
2016-09-14,baggit purse,Lain-lain,83030.0
2016-09-15,chocobar+milk+chips,Makanan/Minuman,18050.0
2016-09-19,milk,Makanan/Minuman,6270.0
2016-09-28,flour mill,Lain-lain,6080.0
